il	pct_iso-alkanes	pct_anteiso-alkanes	Methyl_Index	n-alkane_CPI	n-alkane_ACL	anteiso_CPI	anteiso_ACL	iso_CPI	iso_ACL	eps13C_i.C31	eps13C_n.C31	eps13C_i.C33	eps13C_n.C33	n31-i31	n33-i33	Sum_Alk/area
IL_4.3.2	6.29	7.71	0.14	12.3	31.3	0.12	32.1	10.8	31.9	-15.6	-17.0	-15.3	-16.6	1.4	1.3	1.3
IL_4.3.2	6.34	10.80	0.17	14.2	31.0	0.00	32.0	5.8	31.1	-19.7	-20.9	-19.2	-20.2	1.2	1.0	0.2
IL_4.3.2	6.27	8.89	0.15	11.7	31.2	0.14	32.0	12.6	31.6	-18.1	-19.3	-17.8	-18.7	1.2	0.9	8.0
IL_4.4	5.07	6.53	0.12	14.3	31.4	0.21	32.1	11.1	31.9	-18.1	-20.5	-18.3	-20.0	2.4	1.7	11.9
IL_4.4	5.94	8.26	0.14	13.0	31.4	0.21	32.1	7.6	31.7	-19.3	-20.3	-16.9	-19.4	1.0	2.5	3.2
IL_4.4	8.66	7.76	0.16	10.8	31.4	0.09	32.1	14.8	31.6	-16.2	-17.7	-16.3	-17.3	1.5	0.9	7.0
IL_5.1	7.04	9.35	0.16	12.5	31.4	0.19	32.1	10.1	31.9	-17.5	-18.8	-16.3	-17.5	1.3	1.2	2.3
IL_5.1	5.39	6.04	0.11	13.8	31.4	0.24	32.1	7.9	31.8	-20.1	-21.1	-18.8	-20.6	1.0	1.8	4.6
IL_5.1	6.59	9.26	0.16	10.1	31.4	0.29	31.9	10.9	31.9	-16.4	-18.2	-16.1	-17.9	1.8	1.8	7.6
IL_5.2	6.63	7.88	0.15	12.9	31.4	0.13	32.2	9.0	31.9	-17.1	-18.8	-16.9	-18.1	1.6	1.2	2.0
IL_5.2	7.16	10.99	0.18	9.6	31.5	0.13	32.1	14.9	31.8	-18.2	-20.0	-18.5	-19.3	1.8	0.9	1.1
IL_5.4	6.30	5.44	0.12	12.4	31.3	0.25	32.1	9.3	31.8	-18.0	-20.1	-17.6	-19.6	2.2	2.0	2.8
IL_5.4	6.96	7.04	0.14	11.0	31.3	0.14	32.1	14.4	31.7	-16.0	-17.9	-15.8	-17.4	1.9	1.7	0.5
IL_5.4	8.12	6.91	0.15	11.1	31.1	0.19	32.0	13.7	31.5	-17.7	-20.0	-17.6	-19.9	2.4	2.3	7.0
IL_5.5	9.37	6.92	0.16	12.9	31.3	0.30	32.0	13.7	31.8	-17.1	-20.1	-15.8	-19.0	2.9	3.1	8.8
IL_6.1	7.23	4.84	0.12	13.0	31.5	0.18	32.2	10.8	32.0	-16.9	-18.3	-16.5	-17.8	1.4	1.3	1.6
IL_6.1	6.91	6.04	0.13	12.8	31.5	0.28	32.2	10.2	31.9	-16.9	-18.6	-16.4	-18.3	1.7	1.9	3.9
IL_6.1	11.32	10.07	0.21	11.7	31.4	0.16	32.1	15.9	31.7	-17.9	-20.5	-16.1	-19.4	2.6	3.4	5.3
IL_6.2	7.78	10.07	0.18	11.2	31.4	0.17	32.1	17.0	31.9	-16.5	-17.6	-16.3	-17.2	1.1	0.9	7.6
IL_6.2	6.12	9.76	0.16	10.2	31.5	0.14	32.2	8.5	31.9	-16.7	-18.7	-17.5	-17.9	2.1	0.4	1.5
IL_6.2	7.10	9.06	0.16	12.7	31.3	0.15	32.1	15.8	31.7	-20.3	-23.3	-20.6	-22.5	3.0	1.8	8.7
IL_6.2.2	6.31	9.00	0.15	11.6	31.4	0.16	32.1	13.6	31.9	-17.9	-20.4	-17.8	-19.4	2.4	1.6	3.0
IL_6.2.2	6.18	7.40	0.14	14.5	31.2	0.10	31.9	16.9	31.5	-16.0	-18.1	-15.8	-17.7	2.1	1.9	0.5
IL_6.2.2	10.32	10.58	0.21	10.2	31.4	0.19	32.0	18.7	31.7	-17.8	-20.0	-18.0	-19.4	2.2	1.4	0.7
IL_6.3	7.41	7.46	0.15	12.7	31.4	0.23	32.1	12.6	31.8	-16.1	-17.6	-15.5	-17.5	1.5	2.1	10.1
IL_6.3	5.59	10.93	0.17	12.4	31.4	0.16	32.1	7.0	31.8	-19.3	-22.3	-19.4	-21.4	3.0	2.0	1.5
IL_6.3	8.34	9.39	0.18	11.8	31.3	0.08	32.1	15.7	31.6	-18.6	-19.6	-18.2	-19.3	1.0	1.0	9.6
IL_6.4	7.50	12.64	0.20	11.8	31.2	0.17	32.0	12.1	31.6	-18.4	-20.4	-18.0	-19.7	2.1	1.7	8.1
IL_6.4	8.23	7.62	0.16	11.0	31.4	0.25	32.1	10.1	31.8	-19.8	-22.6	-19.7	-21.8	2.8	2.1	2.5
IL_6.4	6.39	8.15	0.15	9.9	31.3	0.31	31.9	11.8	31.8	-17.7	-19.4	-17.5	-18.7	1.7	1.2	8.5
IL_7.2	8.23	6.35	0.15	11.4	31.4	0.15	32.1	13.3	31.8	-18.1	-20.6	-18.1	-20.3	2.4	2.3	1.0
IL_7.2	6.19	4.93	0.11	13.6	31.3	0.35	32.1	9.8	31.8	-19.5	-21.4	-19.2	-20.4	1.9	1.2	7.8
IL_7.2	7.74	3.83	0.12	11.0	31.3	0.14	32.2	14.1	31.7	-17.7	-18.6	-17.6	-17.9	0.8	0.3	7.6
IL_7.3	4.98	4.02	0.09	12.6	31.4	0.32	32.2	10.2	32.0	-19.6	-20.9	-19.5	-21.2	1.4	1.6	9.1
IL_7.3	6.31	6.15	0.12	12.4	31.4	0.31	32.1	10.1	31.9	-16.8	-18.6	-16.0	-17.5	1.8	1.5	9.7
IL_7.3	7.72	6.16	0.14	10.8	31.3	0.12	32.2	12.7	31.8	-18.9	-21.2	-19.0	-20.2	2.3	1.1	8.8
IL_7.4	8.46	12.24	0.21	13.3	31.4	0.10	32.1	18.2	31.7	-19.2	-21.0	-18.5	-19.9	1.8	1.4	1.2
IL_7.4	6.97	8.05	0.15	11.8	31.4	0.21	32.2	10.2	31.9	-17.5	-18.8	-17.7	-19.1	1.3	1.4	2.8
IL_7.4	7.79	9.78	0.18	12.1	31.3	0.14	32.1	15.6	31.7	-18.5	-19.7	-18.0	-19.6	1.2	1.7	7.3
IL_7.4.1	5.86	8.91	0.15	12.6	31.3	0.23	32.0	9.9	31.8	-17.5	-19.3	-17.4	-18.1	1.8	0.7	6.0
IL_7.4.1	5.16	6.33	0.11	11.5	31.4	0.22	32.1	11.0	31.9	-18.4	-20.0	-17.9	-19.7	1.7	1.8	6.7
IL_7.5	6.91	5.43	0.12	14.3	31.4	0.28	32.1	14.2	31.9	-17.5	-19.4	-17.2	-18.7	1.9	1.6	12.5
IL_7.5	5.79	5.36	0.11	14.1	31.5	0.17	32.2	9.1	32.0	-17.3	-18.9	-16.8	-18.0	1.7	1.3	1.7
IL_7.5	8.78	8.47	0.17	11.7	31.3	0.15	32.1	15.7	31.8	-18.1	-19.4	-17.4	-18.9	1.4	1.5	8.7
IL_7.5.5	5.43	3.88	0.09	13.9	31.4	0.33	32.2	12.1	32.1	-16.2	-18.2	-15.8	-17.6	2.0	1.7	10.3
IL_7.5.5	5.77	4.24	0.10	13.7	31.5	0.31	32.2	8.7	32.0	-17.8	-19.0	-17.6	-18.2	1.2	0.6	4.5
IL_7.5.5	7.32	4.53	0.12	12.9	31.4	0.14	32.2	16.3	31.8	-17.8	-19.3	-17.7	-18.4	1.4	0.6	5.7
IL_8.1	5.29	5.19	0.10	13.2	31.3	0.26	32.1	12.4	31.9	-19.6	-21.6	-19.2	-21.1	2.0	1.9	8.5
IL_8.1	3.34	3.25	0.07	12.8	31.5	0.18	32.2	9.2	32.1	-19.7	-21.5	-19.2	-20.9	1.8	1.7	3.0
IL_8.1	5.48	6.27	0.12	14.7	31.4	0.21	32.1	12.5	31.8	-17.7	-19.6	-17.3	-18.9	1.9	1.6	7.9
IL_8.1.1	7.67	8.92	0.17	11.9	31.3	0.20	32.1	12.7	31.8	-17.9	-19.6	-17.5	-18.7	1.7	1.2	6.1
IL_8.1.1	5.96	6.41	0.12	12.5	31.4	0.22	32.1	7.4	31.9	-19.8	-22.9	-20.1	-22.4	3.1	2.3	1.8
IL_8.1.1	4.74	7.29	0.12	10.0	31.3	0.30	31.9	11.2	31.9	-19.5	-21.5	-19.3	-20.8	2.0	1.5	8.9
IL_8.1.3	7.06	6.82	0.14	12.3	31.4	0.07	32.0	7.3	31.9	-18.0	-20.2	-17.5	-19.5	2.2	2.0	1.0
IL_8.2.1	6.94	6.02	0.13	11.4	31.0	0.30	32.1	9.0	31.7	-19.5	-20.6	-19.1	-19.9	1.1	0.7	10.3
IL_8.2.1	5.29	5.30	0.11	14.5	31.4	0.28	32.1	9.0	31.8	-16.9	-18.8	-17.3	-18.1	1.9	0.8	8.9
IL_8.2.1	10.39	9.76	0.20	11.1	31.4	0.19	32.1	12.4	31.6	-17.5	-19.1	-17.2	-18.8	1.7	1.6	6.6
IL_8.3	5.48	5.28	0.11	14.2	31.3	0.25	32.1	12.6	31.8	-18.4	-20.1	-18.3	-19.4	1.7	1.2	5.9
IL_8.3	4.55	3.74	0.08	16.2	31.4	0.27	32.1	9.7	31.9	-18.1	-20.4	-18.1	-19.5	2.3	1.4	4.4
IL_8.3	7.66	8.58	0.16	10.5	31.3	0.16	32.0	17.0	31.7	-19.7	-21.1	-19.4	-20.4	1.3	1.0	4.8
IL_8.3.1	6.00	5.02	0.11	13.7	31.3	0.31	32.1	12.3	31.9	-19.0	-19.8	-18.5	-19.2	0.7	0.7	4.3
IL_8.3.1	6.67	9.32	0.16	11.3	31.4	0.19	32.1	7.8	31.8	-19.0	-20.4	-18.5	-20.0	1.4	1.6	2.8
